,PSI
time_id,7.3534530915005405
investment_id,0.00018141381526860022
f_0,0.009018800480484155
f_1,0.002963279817396325
f_2,0.04897475499044995
f_3,0.3332554477690392
f_4,0.16003403410737474
f_5,0.00033173603376750833
f_6,0.00658834451803579
f_7,0.009741245451585483
f_8,0.05085606198464625
f_9,0.0029810468592581926
f_10,0.32237824678847293
f_11,0.007717826752654143
f_12,0.000931767118214389
f_13,0.02585265025515786
f_14,0.03655669414762015
f_15,0.004955474252184742
f_16,0.0840973264670022
f_17,0.00440274208836926
f_18,0.016427001408072295
f_19,0.00115289263441916
f_20,0.0014116651322416901
f_21,0.0035483368405676325
f_22,0.9428189765455102
f_23,0.009601849192824578
f_24,8.764522382254578e-05
f_25,0.07071590095142569
f_26,0.011403802239641232
f_27,0.03836945682023697
f_28,0.00037418080470107715
f_29,0.00579770652724915
f_30,0.002183086764408302
f_31,0.03388315955187043
f_32,0.0031623030128453394
f_33,0.2462358311099858
f_34,0.01489309651835419
f_35,0.001280465368469853
f_36,0.036281311191043955
f_37,0.001141477552571659
f_38,0.06346145311265414
f_39,0.008406466016684492
f_40,0.005185210638043776
f_41,0.068352574539229
f_42,0.003839597169271859
f_43,0.0020964150045901598
f_44,0.009335800599264416
f_45,0.002516085129723875
f_46,0.0014517887227491902
f_47,0.00043691879797819265
f_48,0.04787416101989978
f_49,0.001415331059430799
f_50,9.11615396909862e-05
f_51,7.506062927881263e-05
f_52,0.010312204218464916
f_53,0.016093579997799177
f_54,0.018801161941194584
f_55,0.06994615626497969
f_56,0.05925370840466327
f_57,0.005966148950464755
f_58,0.17109877203908117
f_59,0.1231042354419075
f_60,0.15211545534218623
f_61,0.013971856827318515
f_62,0.869840009685944
f_63,0.13206096824181462
f_64,0.0009053829187572873
f_65,0.0019742697640211626
f_66,0.10943588223466125
f_67,0.0175257700980681
f_68,0.039584535579227614
f_69,0.001989454395363983
f_70,0.0015772556079626365
f_71,0.17667037638560829
f_72,7.310740894357821e-05
f_73,0.10394024140755392
f_74,1.6121539919976005
f_75,0.06695820851577125
f_76,0.0017001087934086162
f_77,0.08345821273266651
f_78,0.014854300431363888
f_79,0.004974438856335978
f_80,0.0006374720878042233
f_81,0.027562195510132285
f_82,0.05416393661150984
f_83,0.002910127486692834
f_84,0.009023172710465882
f_85,0.00025968472207122783
f_86,0.00011613912758905962
f_87,0.003907498804728538
f_88,0.08431521941375761
f_89,0.006352666202325908
f_90,0.007382818046809096
f_91,0.0006150620785979302
f_92,0.0036586086117387758
f_93,0.0029326148897398496
f_94,0.0065519374540318216
f_95,0.01661846157634402
f_96,0.010988310510461397
f_97,0.0026498591563606875
f_98,0.004697670068123252
f_99,0.07448916520599501
f_100,0.012656470443750735
f_101,0.022454229535192587
f_102,0.30451907955576896
f_103,0.006682685470036064
f_104,0.045648134868865105
f_105,0.008979100488545874
f_106,0.00399107519926621
f_107,0.05108726167323184
f_108,0.06716120549364395
f_109,0.010463068244470736
f_110,0.003541866389774376
f_111,0.0037938148375074223
f_112,0.010724673333739235
f_113,0.09236506844377329
f_114,0.0055638097068730075
f_115,0.018753751589839215
f_116,0.060016658589438415
f_117,0.5614724750006252
f_118,0.00805761599928213
f_119,0.008860138466126785
f_120,0.24710881147866354
f_121,0.12915919558738037
f_122,0.00040950761837940783
f_123,0.008599413691663945
f_124,0.0798238058758117
f_125,0.0005176014168501966
f_126,0.013380227505323453
f_127,0.2302890930467648
f_128,0.0032998938639870012
f_129,0.00040343633583216526
f_130,0.001841619238005993
f_131,0.08280090348828
f_132,0.05746326458493313
f_133,0.0004129820819704953
f_134,0.000599798341476596
f_135,0.0005885253654866574
f_136,0.14315182046269426
f_137,0.011712654955455816
f_138,0.23453817927731824
f_139,0.022689437164531125
f_140,0.0004159524532288758
f_141,0.02037342547928765
f_142,1.1193410247523463
f_143,0.05258017083658572
f_144,0.00925235433343225
f_145,0.47187713446215845
f_146,3.8615466554186346e-05
f_147,0.06796062965363213
f_148,0.0003343523648187727
f_149,0.006651955641943468
f_150,0.04006894890716032
f_151,0.10072024721153545
f_152,0.05387059574406061
f_153,0.629166153167788
f_154,0.010482763754755922
f_155,0.21249405128875098
f_156,0.038232849198377175
f_157,0.0020976689686551904
f_158,0.0008457346902257727
f_159,0.015421922711193794
f_160,0.008109515475948218
f_161,0.00015152670322675314
f_162,0.007023503817006267
f_163,0.13718024684170996
f_164,0.0003796041272891107
f_165,0.11166938109252927
f_166,0.003340225766713381
f_167,0.005244434598306229
f_168,0.14547593382670942
f_169,0.009733261899477305
f_170,0.12745060102192943
f_171,0.009836708585749865
f_172,0.271455018398425
f_173,0.001461554977964575
f_174,0.04179385214600191
f_175,0.20499364417048332
f_176,0.01564619439244302
f_177,0.013016504033754544
f_178,0.010167846859502392
f_179,0.0008598670969028677
f_180,0.001607274448476065
f_181,0.0030069050907031406
f_182,0.10594710606005929
f_183,0.11398289431458643
f_184,0.00667369166088802
f_185,0.007893918088643708
f_186,0.0053469851170426
f_187,0.033893366998112066
f_188,0.016112973688777975
f_189,0.003991700087990758
f_190,0.005621067024844719
f_191,0.031196233058845453
f_192,0.03430884248330284
f_193,0.14454944723597193
f_194,0.0010010460144311225
f_195,0.0067574672129613305
f_196,0.0011253471158755458
f_197,0.008285735928592296
f_198,0.0013619504576140556
f_199,0.0025216117027329916
f_200,0.13541346121587314
f_201,0.010621498846455323
f_202,0.02450042463923946
f_203,0.03088153914548453
f_204,0.06681203225810463
f_205,0.0009716273572584025
f_206,0.0027719345419781414
f_207,0.013724588180022415
f_208,0.016919285082903593
f_209,0.00928582012788271
f_210,0.17232389474539778
f_211,0.0005012660099880125
