,Feature Addition LGBMRegressor
time_id,0.0
f_74,-0.00016343685158271004
f_153,0.00027204815339176847
f_145,0.001992926988427235
f_108,0.00018038050748525603
f_170,-0.001292999069031353
f_175,-0.0007044264023546853
f_231,0.0037829532538466992
f_165,0.005070772222319109
f_8,0.00287461160476421
f_225,0.0020765469834118644
f_182,-0.0008384520018056563
f_183,0.00014091997920351318
f_99,0.0005707400597060319
f_200,-0.0010168288093657107
f_63,0.003647384579761326
f_62,-0.0003435249766516879
f_22,0.005400640665451872
f_272,-0.0010679060550065067
f_179,0.0031938566613234354
f_142,-0.00048194981487448274
f_241,0.002607751726874663
f_289,0.0030265315888065025
f_251,0.001077610258229278
f_73,0.01130099165285825
f_102,0.003184832426885831
f_249,-0.0012652074826392523
f_263,0.004480229956867254
f_3,-0.00022513051220018898
f_78,0.0004925329400843337
f_67,0.005598371587315021
f_292,-0.002655772044585336
f_204,0.0007098768827082935
f_61,0.0031836516055742115
f_197,0.002323692682802636
f_275,0.005800682425391113
f_107,0.0031887703259636524
f_229,0.003633890089900338
f_196,-0.0025597174040755677
f_293,0.003225779717855981
f_269,0.003203796305825901
f_219,0.0042033841761019985
f_21,-0.0004531223018194863
f_127,-0.0005100887196997084
f_122,-0.0034487297637441072
f_19,-0.003499739641688593
f_176,0.0004217230939023153
f_10,-0.002432044815134482
f_150,0.0009440022501404632
f_174,0.0031360842276143552
f_151,0.00010434615724685958
f_240,-0.0007802941786393403
f_232,-0.0023388876661017965
f_117,0.0009313825289437583
f_42,-0.0022152952426400807
f_26,-0.0018471001101398876
f_7,0.0048927539103473805
f_110,-0.003023204697209292
f_56,0.002464233086685863
f_138,0.004345171767376921
f_130,-0.002458315306775316
f_32,-0.0018655662059016143
f_202,-0.0011152882560607758
f_294,0.0024915212793600316
f_149,-0.0023931103492712547
f_60,-0.0012348754700495235
f_237,-0.00015128648356821373
f_13,-0.002435350359830113
f_209,-0.0024720896098552325
f_119,-0.0006554827480301784
f_120,-0.0011207581346953654
f_244,-0.004009304040271444
f_41,0.0011546566090455679
f_147,-0.00035495101422666764
f_2,-0.0008571937744298319
f_5,-0.0029276789833453387
f_55,-0.0008141887397711267
f_163,-0.0008657800404002769
f_59,-0.0012652329147478936
f_44,-0.0018627612107722236
f_193,-0.0009162328673165687
f_123,-0.0010362756156295783
f_132,0.004189662402179439
f_81,0.0026853644191836556
f_116,-0.0018128304803436412
f_125,-0.0022443821447041268
f_283,-0.003085616920929457
f_264,-0.0011414144874167809
f_221,-0.003213760816992206
f_220,-0.002895680719061988
f_267,-0.0006644451382692429
f_286,0.0015581723799504843
f_178,-0.0024083082544016365
f_6,-0.003909199895788418
f_210,-0.001762684323555419
f_152,0.0015854267949113598
f_66,0.0004272277453997164
f_25,-0.001183086635691999
f_295,-0.0008287778070504848
f_84,-0.0011698922771671283
f_118,0.0005282760509176532
f_104,0.004417597642946358
f_278,0.0005017961981726993
f_250,-0.0013950257110044717
f_65,-0.0018722618160288418
f_299,-0.0009329602171185281
f_71,-0.0008364738358285218
f_137,-0.0006857029557956196
f_184,-0.001897316717447417
f_24,-0.002858282397250389
f_27,0.002014153058247259
f_80,-0.002770979324822953
f_57,-0.0017014453433009669
f_75,-0.0002275052771157915
f_48,0.003557950939907073
f_198,-0.002258721233095229
f_285,-0.0028893508421679037
f_246,0.00021877716758700316
f_156,0.004019170783204018
f_255,-0.0017155830418736917
f_51,-0.0014662500041074944
f_131,-0.0010357834048745351
f_233,-0.00030766361396761255
f_282,-0.0017726986889682328
f_213,-0.002055906083906045
f_291,0.002112097796375334
f_208,-0.000961781269680162
f_248,-0.002849477668410927
f_53,-0.0023749675450962515
f_195,-0.0017855848578059996
f_68,-0.0028481332419606487
f_37,-0.0039480371134846814
f_180,-0.001168593100043247
f_296,0.00019925826119171486
f_168,0.00219120249178939
f_236,-0.0029574696814118617
f_52,0.0005044744956506086
f_69,-0.002816747509170603
f_105,-0.0023036629522401597
f_164,0.002275551416860533
f_271,-0.0010552867372036756
f_273,-0.0008308060474057077
f_157,-0.0003901033072114535
f_101,-0.0010982830374793862
f_114,-0.002342921459209113
f_94,-0.002136099583931572
f_266,-0.0037579513628817063
f_206,-0.0008170740120697628
f_112,-0.0032605141406972793
f_201,-0.0036743270061364575
f_281,-0.002246561756279686
f_224,-0.003160958927163726
f_35,-0.001928863504535805
f_276,-0.001829742390403788
f_91,-0.0016558854499716391
f_216,-0.0009810022362936044
f_297,-0.0005028498597626774
f_162,-0.0009527495219505688
f_169,0.00032588762405449945
f_235,-0.0032011259314064233
f_28,-0.0018393307091227884
f_14,0.004192236227115842
f_188,-0.0022076314959494914
f_223,-0.0019908247530159295
f_18,-0.000930041628077638
f_214,0.00015682463905231092
f_111,-0.003123056189895057
f_258,-0.0040870059635528255
f_226,-0.0005832502020767238
f_29,-0.0006812858159941371
f_159,-0.0007607024150474428
f_11,-0.002745948673230303
f_100,0.0025479582951229984
f_191,-0.0006019535572355794
f_227,-0.002323024154998188
f_34,-0.0007656088641206926
f_257,-0.0008593604251094789
f_36,-0.0013756038731077558
f_155,-0.0016042125453693545
f_90,-0.0015186124563758563
f_133,-0.0007602420720383973
f_79,-0.0029134139757130972
f_12,-0.003988080624500512
f_194,-0.0017620951398070739
f_222,-0.003260560890072206
f_16,-0.0019191408263693477
f_135,-0.0009720389163309084
f_187,0.001489671460427111
f_31,-0.002922784389956745
f_33,-0.0030489845342790423
f_268,-0.002055281927025532
f_139,-0.0004911907840620122
f_76,-0.0004822923251569522
f_242,-0.0022369896338130246
f_181,-0.0020437552239416235
f_30,-0.0024238139752918997
f_171,-0.0022418793121904423
f_189,-0.003122457244883914
f_87,-0.0011207628700590222
f_254,-0.0017258387382202978
f_259,-0.0015180420035116882
f_115,-0.002945032452266516
f_192,-0.0017834676106227576
f_45,-0.0026557451551959543
f_261,-0.0015723520438811756
f_253,-0.002953114437140414
f_128,-0.000844551422945039
f_265,-0.002691904536049061
f_109,-0.002405298409556056
f_89,-0.0017895499289437566
f_46,-0.002178686375374994
f_284,-0.004032786182317394
f_70,-0.0025112701807316062
f_243,0.002790126469231935
f_15,0.00018771846418319527
f_238,-0.0015774162454315066
f_88,-0.00010634621239857811
f_185,-0.0018640098341625722
f_47,-0.001808130670456376
f_38,-0.0011283391010353805
f_146,-0.0010981735518010849
f_83,-0.001550174696051454
f_215,0.0005065947776072832
f_58,0.00019629380219365888
f_92,-0.002444493660381686
f_252,-0.0015363036011967202
f_172,-0.0015250156582591323
f_154,0.00031544940519256937
f_160,-0.002803407999148355
investment_id,-0.004686603281457646
f_93,-0.0014064859787268347
f_256,-0.0018465831638447838
f_1,-0.00290928524846501
f_270,-0.0008201964725856881
f_287,-0.001366508639209063
f_212,9.166595193876859e-05
f_218,-0.001038161483645883
f_274,-0.0007721312255165591
f_98,-0.0004681277374581905
f_20,-0.004036849955413202
f_23,-0.001914119660711422
f_230,-0.0024091952742980594
f_277,-0.0005856015309472218
f_298,-0.0033258764725805356
f_0,-0.0034725914159450255
f_177,-0.0013348831371664538
f_234,-0.0024170022672396207
f_199,-0.003244125918460461
f_82,-0.0023396249941666225
f_134,-0.0015754515752327558
f_77,-0.0029207275395083387
f_143,-0.00010600799162741037
f_247,-0.00099404041719664
f_279,-0.0016915322510387965
f_290,-0.0014011891917156127
f_103,-0.0026534771147285197
f_190,0.00017398725279960114
f_126,-0.0030070645831568044
f_166,-0.0034259321912443186
f_144,-0.001670036789528484
